timestamp,APPversion,rawstack
2026-09-04T19:56:08.477Z,2026.02.1,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __GI_raise at :0
  [4] __GI_abort at :0
  [5] RigTransmissibilityCondenser::calculateCondensedTransmissibilities() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:336
  [6] RigTransmissibilityCondenser::externalCells() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:110
  [7] RicExportFractureCompletionsImpl::calculateMatrixToWellTransmissibilities(RigTransmissibilityCondenser&) at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:710
  [8] RicExportFractureCompletionsImpl::generateCompdatValuesConst(RimEclipseCase const*, QString const&, RigWellPath const*, std::vector<RimFracture const*, std::allocator<RimFracture const*> > const&, std::vector<RicWellPathFractureReportItem, std::allocator<RicWellPathFractureReportItem> >*, QTextStream*, RicExportFractureCompletionsImpl::PressureDepletionParameters) [clone ._omp_fn.0] at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:305
  [9] gomp_thread_start at :0
  [10] start_thread at :0
  [11] __GI___clone at :0
  [12]  at :0
"
2026-09-04T19:56:08.477Z,2026.02.1,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __GI_raise at :0
  [4] __GI_abort at :0
  [5] RigTransmissibilityCondenser::calculateCondensedTransmissibilities() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:336
  [6] RigTransmissibilityCondenser::externalCells() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:110
  [7] RicExportFractureCompletionsImpl::calculateMatrixToWellTransmissibilities(RigTransmissibilityCondenser&) at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:710
  [8] RicExportFractureCompletionsImpl::generateCompdatValuesConst(RimEclipseCase const*, QString const&, RigWellPath const*, std::vector<RimFracture const*, std::allocator<RimFracture const*> > const&, std::vector<RicWellPathFractureReportItem, std::allocator<RicWellPathFractureReportItem> >*, QTextStream*, RicExportFractureCompletionsImpl::PressureDepletionParameters) [clone ._omp_fn.0] at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:305
  [9] gomp_thread_start at :0
  [10] start_thread at :0
  [11] __GI___clone at :0
  [12]  at :0
"
2026-09-04T19:49:22.163Z,2026.06.1,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:170
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:302
  [2]  at :0
  [3] __free at :0
  [4] std::__new_allocator<double>::deallocate(double*, unsigned long) at /opt/rh/gcc-toolset-13/root/usr/include/c++/13/bits/new_allocator.h:172
  [5] std::vector<double, std::allocator<double> >::resize(unsigned long) at /opt/rh/gcc-toolset-13/root/usr/include/c++/13/bits/stl_vector.h:1016
  [6] RigCaseCellResultsData::computeSOILForTimeStep(unsigned long) at ResInsight/ApplicationLibCode/ReservoirDataModel/RigCaseCellResultsData.cpp:1809
  [7] RigCaseCellResultsData::findOrLoadKnownScalarResultForTimeStep(RigEclipseResultAddress const&, unsigned long) at ResInsight/ApplicationLibCode/ReservoirDataModel/RigCaseCellResultsData.cpp:1716
  [8] RimGridCalculation::getActiveCellValues(QString const&, RiaDefines::ResultCatType, unsigned long, RiaDefines::PorosityModelType, RimEclipseCase*, RimEclipseCase*) const at ResInsight/ApplicationLibCode/ProjectDataModel/RimGridCalculation.cpp:623
  [9] RimGridCalculation::getActiveCellValuesForVariable(RimGridCalculationVariable*, unsigned long, RiaDefines::PorosityModelType, RimEclipseCase*, RimEclipseCase*) const at ResInsight/ApplicationLibCode/ProjectDataModel/RimGridCalculation.cpp:596
  [10] RimGridCalculation::calculateForCases(std::vector<RimEclipseCase*, std::allocator<RimEclipseCase*> > const&, cvf::Array<unsigned char>*, std::optional<std::vector<unsigned long, std::allocator<unsigned long> > >, bool) at ResInsight/ApplicationLibCode/ProjectDataModel/RimGridCalculation.cpp:917
  [11] RimGridCalculation::calculate() at ResInsight/ApplicationLibCode/ProjectDataModel/RimGridCalculation.cpp:265
  [12] RimReloadCaseTools::reloadEclipseData(RimEclipseCase*, bool) at ResInsight/ApplicationLibCode/ProjectDataModel/RimReloadCaseTools.cpp:94
  [13] RicReloadCaseFeature::onActionTriggered(bool) at ResInsight/ApplicationLibCode/Commands/RicReloadCaseFeature.cpp:62
  [14] caf::CmdFeature::actionTriggered(bool) at ResInsight/Fwk/AppFwk/cafCommand/cafCmdFeature.cpp:176
  [15]  at :0
  [16] QAction::triggered(bool) at :0
  [17] QAction::activate(QAction::ActionEvent) at :0
  [18]  at :0
  [19]  at :0
  [20] QWidget::event(QEvent*) at :0
  [21] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [22] QApplication::notify(QObject*, QEvent*) at :0
  [23] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1828
  [24] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [25] QApplicationPrivate::sendMouseEvent(QWidget*, QMouseEvent*, QWidget*, QWidget*, QWidget**, QPointer<QWidget>&, bool, bool) at :0
  [26]  at :0
  [27]  at :0
  [28] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [29] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1828
  [30] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [31] QGuiApplicationPrivate::processMouseEvent(QWindowSystemInterfacePrivate::MouseEvent*) at :0
  [32] QWindowSystemInterface::sendWindowSystemEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [33]  at :0
  [34] g_main_context_dispatch at :0
  [35] g_main_context_iterate.isra.20 at :0
  [36] g_main_context_iteration at :0
  [37] QEventDispatcherGlib::processEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [38] QEventLoop::exec(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [39]  at :0
  [40] QMenu::exec(QPoint const&, QAction*) at :0
  [41] RiuMainWindow::customMenuRequested(QPoint const&) at ResInsight/ApplicationLibCode/UserInterface/RiuMainWindow.cpp:2092
  [42]  at :0
  [43] QWidget::customContextMenuRequested(QPoint const&) at :0
  [44] QWidget::event(QEvent*) at :0
  [45] QFrame::event(QEvent*) at :0
  [46] QCoreApplicationPrivate::sendThroughObjectEventFilters(QObject*, QEvent*) at :0
  [47] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [48] QApplication::notify(QObject*, QEvent*) at :0
  [49] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1828
  [50] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [51]  at :0
  [52]  at :0
  [53] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [54] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1828
  [55] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [56] QGuiApplicationPrivate::processMouseEvent(QWindowSystemInterfacePrivate::MouseEvent*) at :0
  [57] QWindowSystemInterface::sendWindowSystemEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [58]  at :0
  [59] g_main_context_dispatch at :0
  [60] g_main_context_iterate.isra.20 at :0
  [61] g_main_context_iteration at :0
  [62] QEventDispatcherGlib::processEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [63] QEventLoop::exec(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [64] QCoreApplication::exec() at :0
  [65] main at ResInsight/ApplicationExeCode/RiaMain.cpp:267
  [66] __libc_start_main at :0
  [67] _start at :0
  [68]  at :0
"
2026-09-04T15:44:30.688Z,2026.02.1,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __GI_raise at :0
  [4] __GI_abort at :0
  [5] RigTransmissibilityCondenser::calculateCondensedTransmissibilities() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:336
  [6] RigTransmissibilityCondenser::externalCells() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:110
  [7] RicExportFractureCompletionsImpl::calculateMatrixToWellTransmissibilities(RigTransmissibilityCondenser&) at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:710
  [8] RicExportFractureCompletionsImpl::generateCompdatValuesConst(RimEclipseCase const*, QString const&, RigWellPath const*, std::vector<RimFracture const*, std::allocator<RimFracture const*> > const&, std::vector<RicWellPathFractureReportItem, std::allocator<RicWellPathFractureReportItem> >*, QTextStream*, RicExportFractureCompletionsImpl::PressureDepletionParameters) [clone ._omp_fn.0] at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:305
  [9] gomp_thread_start at :0
  [10] start_thread at :0
  [11] __GI___clone at :0
  [12]  at :0
"
2026-09-04T15:44:30.667Z,2026.02.1,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __GI_raise at :0
  [4] __GI_abort at :0
  [5] RigTransmissibilityCondenser::calculateCondensedTransmissibilities() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:336
  [6] RigTransmissibilityCondenser::externalCells() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:110
  [7] RicExportFractureCompletionsImpl::calculateMatrixToWellTransmissibilities(RigTransmissibilityCondenser&) at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:710
  [8] RicExportFractureCompletionsImpl::generateCompdatValuesConst(RimEclipseCase const*, QString const&, RigWellPath const*, std::vector<RimFracture const*, std::allocator<RimFracture const*> > const&, std::vector<RicWellPathFractureReportItem, std::allocator<RicWellPathFractureReportItem> >*, QTextStream*, RicExportFractureCompletionsImpl::PressureDepletionParameters) [clone ._omp_fn.0] at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:305
  [9] gomp_thread_start at :0
  [10] start_thread at :0
  [11] __GI___clone at :0
  [12]  at :0
"
2026-09-04T15:44:30.667Z,2026.02.1,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __GI_raise at :0
  [4] __GI_abort at :0
  [5] RigTransmissibilityCondenser::calculateCondensedTransmissibilities() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:336
  [6] RigTransmissibilityCondenser::externalCells() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:110
  [7] RicExportFractureCompletionsImpl::calculateMatrixToWellTransmissibilities(RigTransmissibilityCondenser&) at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:710
  [8] RicExportFractureCompletionsImpl::generateCompdatValuesConst(RimEclipseCase const*, QString const&, RigWellPath const*, std::vector<RimFracture const*, std::allocator<RimFracture const*> > const&, std::vector<RicWellPathFractureReportItem, std::allocator<RicWellPathFractureReportItem> >*, QTextStream*, RicExportFractureCompletionsImpl::PressureDepletionParameters) [clone ._omp_fn.0] at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:305
  [9] gomp_thread_start at :0
  [10] start_thread at :0
  [11] __GI___clone at :0
  [12]  at :0
"
2026-09-04T15:44:30.667Z,2026.02.1,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __GI_raise at :0
  [4] __GI_abort at :0
  [5] RigTransmissibilityCondenser::calculateCondensedTransmissibilities() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:336
  [6] RigTransmissibilityCondenser::externalCells() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:110
  [7] RicExportFractureCompletionsImpl::calculateMatrixToWellTransmissibilities(RigTransmissibilityCondenser&) at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:710
  [8] RicExportFractureCompletionsImpl::generateCompdatValuesConst(RimEclipseCase const*, QString const&, RigWellPath const*, std::vector<RimFracture const*, std::allocator<RimFracture const*> > const&, std::vector<RicWellPathFractureReportItem, std::allocator<RicWellPathFractureReportItem> >*, QTextStream*, RicExportFractureCompletionsImpl::PressureDepletionParameters) [clone ._omp_fn.0] at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:305
  [9] gomp_thread_start at :0
  [10] start_thread at :0
  [11] __GI___clone at :0
  [12]  at :0
"
2026-09-04T14:47:04.683Z,2026.09.0,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:178
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:310
  [2]  at :0
  [3]  at :0
  [4] QSortFilterProxyModel::flags(QModelIndex const&) const at :0
  [5] QAbstractItemView::setCurrentIndex(QModelIndex const&) at :0
  [6] caf::PdmUiTreeViewEditor::selectAsCurrentItem(caf::PdmUiItem const*) at ResInsight/Fwk/AppFwk/cafUserInterface/cafPdmUiTreeViewEditor.cpp:449
  [7] RiuMainWindowBase::selectAsCurrentItem(caf::PdmObject const*, bool) at ResInsight/ApplicationLibCode/UserInterface/RiuMainWindowBase.cpp:310
  [8] RiuMainWindowBase::slotDockViewerVisibilityChanged(bool) at ResInsight/ApplicationLibCode/UserInterface/RiuMainWindowBase.cpp:444
  [9]  at :0
  [10] ads::CDockWidget::visibilityChanged(bool) at ResInsight/cmakebuild/ThirdParty/qtadvanceddocking/src/qtadvanceddocking-qt6_autogen/EWIEGA46WW/moc_DockWidget.cpp:475
  [11] ads::CDockWidget::event(QEvent*) at ResInsight/ThirdParty/qtadvanceddocking/src/DockWidget.cpp:873
  [12] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [13] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1879
  [14] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [15] QWidgetPrivate::show_helper() at :0
  [16] QWidgetPrivate::showChildren(bool) at :0
  [17] QWidgetPrivate::show_helper() at :0
  [18] QWidgetPrivate::setVisible(bool) at :0
  [19] ads::CDockAreaWidget::setVisible(bool) at ResInsight/ThirdParty/qtadvanceddocking/src/DockAreaWidget.cpp:1209
  [20]  at :0
  [21] ads::CDockContainerWidget::removeDockArea(ads::CDockAreaWidget*) at ResInsight/ThirdParty/qtadvanceddocking/src/DockContainerWidget.cpp:1829
  [22] ads::CDockAreaWidget::removeDockWidget(ads::CDockWidget*) at ResInsight/ThirdParty/qtadvanceddocking/src/DockAreaWidget.cpp:606
  [23] ads::CDockManager::removeDockWidget(ads::CDockWidget*) at ResInsight/ThirdParty/qtadvanceddocking/src/DockManager.cpp:1113
  [24] RiuMainWindowBase::tileViewWindows() at ResInsight/ApplicationLibCode/UserInterface/RiuMainWindowBase.cpp:911
  [25]  at :0
  [26] QAction::triggered(bool) at :0
  [27] QAction::activate(QAction::ActionEvent) at :0
  [28]  at :0
  [29] QAbstractButton::mouseReleaseEvent(QMouseEvent*) at :0
  [30] QToolButton::mouseReleaseEvent(QMouseEvent*) at :0
  [31] QWidget::event(QEvent*) at :0
  [32] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [33] QApplication::notify(QObject*, QEvent*) at :0
  [34] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1879
  [35] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [36] QApplicationPrivate::sendMouseEvent(QWidget*, QMouseEvent*, QWidget*, QWidget*, QWidget**, QPointer<QWidget>&, bool, bool) at :0
  [37]  at :0
  [38]  at :0
  [39] QApplicationPrivate::notify_helper(QObject*, QEvent*) at :0
  [40] RiaGuiApplication::notify(QObject*, QEvent*) at ResInsight/ApplicationLibCode/Application/RiaGuiApplication.cpp:1879
  [41] QCoreApplication::notifyInternal2(QObject*, QEvent*) at :0
  [42] QGuiApplicationPrivate::processMouseEvent(QWindowSystemInterfacePrivate::MouseEvent*) at :0
  [43] QWindowSystemInterface::sendWindowSystemEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [44]  at :0
  [45] g_main_context_dispatch at :0
  [46] g_main_context_iterate.isra.20 at :0
  [47] g_main_context_iteration at :0
  [48] QEventDispatcherGlib::processEvents(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [49] QEventLoop::exec(QFlags<QEventLoop::ProcessEventsFlag>) at :0
  [50] QCoreApplication::exec() at :0
  [51] main at ResInsight/ApplicationExeCode/RiaMain.cpp:267
  [52] __libc_start_main at :0
  [53] _start at :0
  [54]  at :0
"
2026-09-04T14:09:25.038Z,2026.02.1,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __GI_raise at :0
  [4] __GI_abort at :0
  [5] RigTransmissibilityCondenser::calculateCondensedTransmissibilities() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:336
  [6] RigTransmissibilityCondenser::externalCells() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:110
  [7] RicExportFractureCompletionsImpl::calculateMatrixToWellTransmissibilities(RigTransmissibilityCondenser&) at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:710
  [8] RicExportFractureCompletionsImpl::generateCompdatValuesConst(RimEclipseCase const*, QString const&, RigWellPath const*, std::vector<RimFracture const*, std::allocator<RimFracture const*> > const&, std::vector<RicWellPathFractureReportItem, std::allocator<RicWellPathFractureReportItem> >*, QTextStream*, RicExportFractureCompletionsImpl::PressureDepletionParameters) [clone ._omp_fn.0] at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:305
  [9] gomp_thread_start at :0
  [10] start_thread at :0
  [11] __GI___clone at :0
  [12]  at :0
"
2026-09-04T13:41:14.741Z,2026.02.1,"  [0] performCrashLogging at ResInsight/ApplicationExeCode/RiaMainTools.cpp:147
  [1] manageSegFailureSA(int, siginfo_t*, void*) at ResInsight/ApplicationExeCode/RiaMainTools.cpp:227
  [2]  at :0
  [3] __GI_raise at :0
  [4] __GI_abort at :0
  [5] RigTransmissibilityCondenser::calculateCondensedTransmissibilities() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:336
  [6] RigTransmissibilityCondenser::externalCells() at ResInsight/ApplicationLibCode/ReservoirDataModel/Completions/RigTransmissibilityCondenser.cpp:110
  [7] RicExportFractureCompletionsImpl::calculateMatrixToWellTransmissibilities(RigTransmissibilityCondenser&) at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:710
  [8] RicExportFractureCompletionsImpl::generateCompdatValuesConst(RimEclipseCase const*, QString const&, RigWellPath const*, std::vector<RimFracture const*, std::allocator<RimFracture const*> > const&, std::vector<RicWellPathFractureReportItem, std::allocator<RicWellPathFractureReportItem> >*, QTextStream*, RicExportFractureCompletionsImpl::PressureDepletionParameters) [clone ._omp_fn.0] at ResInsight/ApplicationLibCode/Commands/CompletionExportCommands/RicExportFractureCompletionsImpl.cpp:305
  [9] gomp_thread_start at :0
  [10] start_thread at :0
  [11] __GI___clone at :0
  [12]  at :0
"
